,学生id,选课,
15,Student14,"程序设计基础,创新创新创业基础,大学生心理健康教育,创业启程,通用学术英语,汉语文字词汇,高等数学,计算机文化基础,中国近现代史纲要纲要,大学物理,高技术与现代局部战争,Java程序设计,思想道德修养与法律基础,线性代数,中国电影经典影片鉴赏,工程职业伦理,大学物理,数理统计及概率论,理工学术英语,普通化学,马克思主义基本原理,数据结构,数字集成电路分析与设计,Web基础,理工学术英语,大学计算机基础与应用,毛泽东思想和中国特色社会主义理论体系概论,软件工程,交互设计,数据库系统原理与开发,社会研究方法,操作系统,高级语言程序设计,计算机网络,软件理论基础,高级大数据系统,投资银行学,信息技术与教育应用,大数据机器学习,工程职业伦理,电子政务,人工智能,软件理论基础,项目管理,测试系统集成技术,知识产权法与创新保护,数学建模",
16,Student15,"程序设计基础,创新创新创业基础,大学生心理健康教育,创业启程,通用学术英语,汉语文字词汇,高等数学,计算机文化基础,中国近现代史纲要纲要,Python 交互式程序设计导论,大学物理,光电仪器设计,国防教育——热点问题,高技术与现代局部战争,Java程序设计,思想道德修养与法律基础,线性代数,形势与政,工程职业伦理,大学物理,数理统计及概率论,理工学术英语,金融工程,马克思主义基本原理,数据结构,数字集成电路分析与设计,中国电影经典影片鉴赏,Web基础,学在南哲：哲学与哲人,理工学术英语,大学计算机基础与应用,毛泽东思想和中国特色社会主义理论体系概论,经济地理与企业兴衰,软件工程,交互设计,数据库系统原理与开发,操作系统,高级语言程序设计,计算机网络,软件理论基础,高级大数据系统,数学建模,大数据系统基础,电子信息科学与技术导引,人工智能,软件理论基础,项目管理,测试系统集成技术,工程职业伦理,知识产权法与创新保护,C++语言程序设计基础",
17,Student16,"程序设计基础,C语言程序设计,创新创新创业基础,大学生心理健康教育,创业启程,通用学术英语,汉语文字词汇,高等数学,计算机文化基础,中国近现代史纲要纲要,Python 交互式程序设计导论,大学物理,高技术与现代局部战争,Java程序设计,思想道德修养与法律基础,汇编语言程序设计,线性代数,工程职业伦理,数理统计及概率论,理工学术英语,茶艺,马克思主义基本原理,数据结构,数字集成电路分析与设计,Web基础,大学计算机基础与应用,毛泽东思想和中国特色社会主义理论体系概论,软件工程,交互设计,大学历史与文化,数据库系统原理与开发,影视鉴赏,操作系统,高级语言程序设计,计算机网络,软件理论基础,高级大数据系统,数学建模,投资银行学,大数据系统基础,工程职业伦理,人工智能,软件理论基础,项目管理,测试系统集成技术,工程职业伦理,知识产权法与创新保护,C++语言程序设计基础,网络安全概述",
18,Student17,"程序设计基础,创新创新创业基础,大学生心理健康教育,创业启程,通用学术英语,汉语文字词汇,高等数学,计算机文化基础,中国近现代史纲要纲要,大学物理,文物精品与文化中国,光电仪器设计,高技术与现代局部战争,Java程序设计,思想道德修养与法律基础,线性代数,无机化学,工程职业伦理,大学物理,数理统计及概率论,理工学术英语,马克思主义基本原理,意在象中——中国古典诗词鉴赏,数据结构,数字集成电路分析与设计,Web基础,理工学术英语,大学计算机基础与应用,妇女健康和权益,毛泽东思想和中国特色社会主义理论体系概论,软件工程,交互设计,数据库系统原理与开发,操作系统,高级语言程序设计,计算机网络,软件理论基础,高级大数据系统,数据挖掘：理论与算法,工程职业伦理,电子政务,人工智能,软件理论基础,项目管理,测试系统集成技术,经济学,工程职业伦理,知识产权法与创新保护",
19,Student18,"程序设计基础,创新创新创业基础,大学生心理健康教育,创业启程,通用学术英语,汉语文字词汇,高等数学,计算机文化基础,中国近现代史纲要纲要,大学物理,汉语文字词汇,计算机辅助设计,高技术与现代局部战争,Java程序设计,思想道德修养与法律基础,线性代数,工程职业伦理,大学物理,数理统计及概率论,理工学术英语,马克思主义基本原理,数据结构,数字集成电路分析与设计,Web基础,学在南哲：哲学与哲人,理工学术英语,大学计算机基础与应用,毛泽东思想和中国特色社会主义理论体系概论,室内花草栽培技术与装饰布景,花卉鉴赏,软件工程,交互设计,数据库系统原理与开发,操作系统,高级语言程序设计,计算机网络,知识产权法与创新保护,软件理论基础,高级大数据系统,数学建模,工程职业伦理,电子政务,人工智能,软件理论基础,项目管理,测试系统集成技术,知识产权法与创新保护",
20,Student19,"程序设计基础,创新创新创业基础,大学生心理健康教育,创业启程,通用学术英语,汉语文字词汇,高等数学,计算机文化基础,中国近现代史纲要纲要,Python 交互式程序设计导论,大学物理,计算机辅助设计,高技术与现代局部战争,Java程序设计,思想道德修养与法律基础,线性代数,工程职业伦理,大学物理,数理统计及概率论,理工学术英语,马克思主义基本原理,意在象中——中国古典诗词鉴赏,数据结构,数字集成电路分析与设计,Web基础,理工学术英语,大学计算机基础与应用,毛泽东思想和中国特色社会主义理论体系概论,软件工程,交互设计,数据库系统原理与开发,管理学,影视鉴赏,操作系统,高级语言程序设计,计算机网络,软件理论基础,高级大数据系统,数学建模,大数据系统基础,工程职业伦理,电子政务,软件理论基础,项目管理,测试系统集成技术,工程职业伦理,知识产权法与创新保护,C++语言程序设计基础",
21,Student20,"程序设计基础,创新创新创业基础,大学生心理健康教育,创业启程,通用学术英语,汉语文字词汇,高等数学,习近平新时代中国特色社会主义思想：新发展理念,计算机文化基础,中国近现代史纲要纲要,大学物理,高技术与现代局部战争,Java程序设计,思想道德修养与法律基础,线性代数,中国电影经典影片鉴赏,工程职业伦理,大学物理,数理统计及概率论,理工学术英语,《红楼梦》的空间艺术,马克思主义基本原理,数据结构,数字集成电路分析与设计,Web基础,大数据与城市规划,理工学术英语,大学计算机基础与应用,毛泽东思想和中国特色社会主义理论体系概论,软件工程,交互设计,数据库系统原理与开发,营养与健康,操作系统,计算机网络,网络技术与应用,软件理论基础,物理与人类未来,信息技术与教育应用,PLC应用技术,工程职业伦理,人工智能,软件理论基础,项目管理,系统化产品设计与开发,计算机基础（C++语言程序设计基础）,知识产权法与创新保护,生活英语进阶",
22,Student21,"程序设计基础,创新创新创业基础,大学生心理健康教育,创业启程,通用学术英语,汉语文字词汇,高等数学,网络安全概述,计算机文化基础,中国近现代史纲要纲要,大学物理,高技术与现代局部战争,Java程序设计,思想道德修养与法律基础,线性代数,中国电影经典影片鉴赏,工程职业伦理,大学物理,数理统计及概率论,理工学术英语,马克思主义基本原理,小白学人工智能,数据结构,数字集成电路分析与设计,Web基础,理工学术英语,大学计算机基础与应用,毛泽东思想和中国特色社会主义理论体系概论,软件工程,交互设计,数据库系统原理与开发,经济学,对外汉语,操作系统,高级语言程序设计,计算机网络,软件理论基础,高级大数据系统,数学建模,大数据系统基础,工程职业伦理,人工智能,软件理论基础,项目管理,测试系统集成技术,工程职业伦理实践,知识产权法与创新保护,计算机基础（C++语言程序设计基础）,网络、群体与市场",
23,Student22,"程序设计基础,创新创新创业基础,大学生心理健康教育,创业启程,通用学术英语,汉语文字词汇,高等数学,网络安全概述,计算机文化基础,中国近现代史纲要纲要,办公软件Office实践应用,大学物理,高技术与现代局部战争,Java程序设计,思想道德修养与法律基础,线性代数,工程职业伦理,大学物理,数理统计及概率论,理工学术英语,马克思主义基本原理,数据结构,数字集成电路分析与设计,英汉语言对比,Python 交互式程序设计导论,Web基础,理工学术英语,大学计算机基础与应用,毛泽东思想和中国特色社会主义理论体系概论,软件工程,交互设计,数据库系统原理与开发,影视鉴赏,操作系统,高级语言程序设计,计算机网络,软件理论基础,高级大数据系统,数学建模,投资银行学,大数据系统基础,工程职业伦理,人工智能,软件理论基础,项目管理,测试系统集成技术,工程职业伦理,知识产权法与创新保护,C++语言程序设计基础",
24,Student23,"程序设计基础,创新创新创业基础,大学生心理健康教育,创业启程,通用学术英语,汉语文字词汇,高等数学,计算机文化基础,中国古代礼义文明（上）,中国古代礼义文明（下）,中国近现代史纲要纲要,大学物理,高技术与现代局部战争,Java程序设计,思想道德修养与法律基础,线性代数,中国电影经典影片鉴赏,工程职业伦理,大学物理,数理统计及概率论,理工学术英语,马克思主义基本原理,数据结构,数字集成电路分析与设计,营养与健康,Web基础,理工学术英语,大学计算机基础与应用,毛泽东思想和中国特色社会主义理论体系概论,汽车文化与鉴赏,软件工程,交互设计,数据库系统原理与开发,操作系统,茶叶制造与健康,高级语言程序设计,计算机网络,软件理论基础,高级大数据系统,数学建模,信息技术与教育应用,大数据系统基础,工程职业伦理,软件理论基础,项目管理,测试系统集成技术,知识产权法与创新保护,生活英语进阶",
25,Student24,"程序设计基础,创新创业基础,大学生心理健康教育,创业启程,通用学术英语,汉语文字词汇,高等数学,计算机文化基础1,中国近现代史纲要纲要,大学物理,通用学术英语,高等数学,高技术与现代局部战争,Java程序设计,思想道德修养与法律基础,线性代数2,工程职业伦理1,大学物理,数理统计及概率论,理工学术英语1,马克思主义基本原理,数据结构,数字集成电路分析与设计3,Web基础,大学计算机基础与应用,毛泽东思想和中国特色社会主义理论体系概论,软件工程,交互设计,数据库原理与应用,网络安全概述,电工技术,工业生产管理概论,山水画技法,Python 交互式程序设计导论,操作系统,高级语言程序设计,计算机网络,软件理论基础,高级大数据系统,艺术欣赏,大数据系统基础,工程职业伦理,电子政务,人工智能,软件理论基础,项目管理,测试系统集成技术,工程职业伦理,生活英语进阶,知识产权法与创新保护,C++语言程序设计基础",
26,Student25,"程序设计基础,创新创业基础,大学生心理健康教育,创业启程,通用学术英语,汉语文字词汇,高等数学,计算机文化基础1,中国近现代史纲要纲要,大学物理,通用学术英语,高等数学,高技术与现代局部战争,Java程序设计,思想道德修养与法律基础,线性代数2,工程职业伦理1,大学物理,数理统计及概率论,理工学术英语1,马克思主义基本原理,数据结构,数字集成电路分析与设计3,Web基础,大学计算机基础与应用,毛泽东思想和中国特色社会主义理论体系概论,软件工程,交互设计,数据库原理与应用,网络安全概述,电工技术,工业生产管理概论,山水画技法,Python 交互式程序设计导论,操作系统,高级语言程序设计,计算机网络,软件理论基础,高级大数据系统,数据挖掘：理论与算法,信息技术与教育应用,工程职业伦理,人工智能,软件理论基础,项目管理,测试系统集成技术,工程职业伦理,知识产权法与创新保护,C++语言程序设计基础,Python 交互式程序设计导论",
27,Student26,"程序设计基础,创新创业基础,大学生心理健康教育,创业启程,通用学术英语,汉语文字词汇,高等数学,计算机文化基础1,中国近现代史纲要纲要,大学物理,通用学术英语,高等数学,高技术与现代局部战争,Java程序设计,思想道德修养与法律基础,线性代数2,工程职业伦理1,大学物理,数理统计及概率论,理工学术英语1,马克思主义基本原理,数据结构,数字集成电路分析与设计3,Web基础,大学计算机基础与应用,毛泽东思想和中国特色社会主义理论体系概论,软件工程,交互设计,数据库原理与应用,C语言程序设计,网络安全概述,汇编语言程序设计,C++语言程序设计基础,运动与减脂塑形,社会研究方法,经济学,操作系统,高级语言程序设计,计算机网络,软件理论基础,高级大数据系统,数据挖掘：理论与算法,工程职业伦理,电子政务,人工智能,软件理论基础,项目管理,测试系统集成技术,工程职业伦理,知识产权法与创新保护,C++语言程序设计基础",
28,Student27,"程序设计基础,创新创业基础,大学生心理健康教育,创业启程,通用学术英语,汉语文字词汇,高等数学,计算机文化基础1,中国近现代史纲要纲要,大学物理,通用学术英语,高等数学,高技术与现代局部战争,Java程序设计,思想道德修养与法律基础,线性代数2,工程职业伦理1,大学物理,数理统计及概率论,理工学术英语1,马克思主义基本原理,数据结构,数字集成电路分析与设计3,Web基础,大学计算机基础与应用,毛泽东思想和中国特色社会主义理论体系概论,软件工程,交互设计,数据库原理与应用,女性修与养：女性运动、营养与健康,文物精品与文化中国,光电仪器设计,卡通说解数字电子技术,乐商对话,普通化学,庄子哲学导读,操作系统,计算机网络,网络技术与应用,软件理论基础,数据挖掘：理论与算法,信息技术与教育应用,PLC应用技术,工程职业伦理,电子政务,软件理论基础,项目管理,系统化产品设计与开发,知识产权法与创新保护,C++语言程序设计基础",
29,Student28,"程序设计基础,创新创业基础,大学生心理健康教育,创业启程,通用学术英语,汉语文字词汇,高等数学,计算机文化基础1,中国近现代史纲要纲要,大学物理,通用学术英语,高等数学,高技术与现代局部战争,Java程序设计,思想道德修养与法律基础,线性代数2,工程职业伦理1,大学物理,数理统计及概率论,理工学术英语1,马克思主义基本原理,数据结构,数字集成电路分析与设计3,Web基础,大学计算机基础与应用,毛泽东思想和中国特色社会主义理论体系概论,软件工程,交互设计,数据库原理与应用,女性修与养：女性运动、营养与健康,计算机辅助设计,印意雕刻工艺品制作,卡通说解数字电子技术,乐商对话,如柯成为一名终生学习者并从中收益,设计的人因与文化,操作系统,计算机网络,网络技术与应用,软件理论基础,数学建模,信息技术与教育应用,PLC应用技术,工程职业伦理,电子政务,软件理论基础,中级管理会计,系统化产品设计与开发,知识产权法与创新保护",
30,Student29,"程序设计基础,创新创业基础,大学生心理健康教育,创业启程,通用学术英语,汉语文字词汇,高等数学,计算机文化基础1,中国近现代史纲要纲要,大学物理,通用学术英语,高等数学,高技术与现代局部战争,Java程序设计,思想道德修养与法律基础,线性代数2,工程职业伦理1,大学物理,数理统计及概率论,理工学术英语1,马克思主义基本原理,数据结构,数字集成电路分析与设计3,Web基础,大学计算机基础与应用,毛泽东思想和中国特色社会主义理论体系概论,软件工程,交互设计,数据库原理与应用,汇编语言程序设计,《红楼梦》的空间艺术,英汉语言对比,Python 交互式程序设计导论,操作系统,高级语言程序设计,计算机网络,软件理论基础,高级大数据系统,数据挖掘：理论与算法,管理学,工程职业伦理,电子政务,人工智能,软件理论基础,项目管理,测试系统集成技术,工程职业伦理,知识产权法与创新保护,视觉传达设计思维与方法,C++语言程序设计基础",
31,Student30,"程序设计基础,创新创业基础,大学生心理健康教育,创业启程,通用学术英语,汉语文字词汇,高等数学,计算机文化基础1,中国近现代史纲要纲要,大学物理,通用学术英语,高等数学,高技术与现代局部战争,Java程序设计,思想道德修养与法律基础,线性代数2,工程职业伦理1,大学物理,数理统计及概率论,理工学术英语1,马克思主义基本原理,数据结构,数字集成电路分析与设计3,Web基础,大学计算机基础与应用,毛泽东思想和中国特色社会主义理论体系概论,软件工程,交互设计,数据库原理与应用,艺术与审美,工业生产管理概论,微观经济学原理,艺术的启示,建筑环境学,操作系统,高级语言程序设计,计算机网络,软件理论基础,高级大数据系统,Python 交互式程序设计导论,大数据系统基础,工程职业伦理,电子政务,人工智能,软件理论基础,项目管理,测试系统集成技术,工程职业伦理,知识产权法与创新保护,C++语言程序设计基础",
32,Student31,"程序设计基础,创新创业基础,大学生心理健康教育,创业启程,通用学术英语,汉语文字词汇,高等数学,计算机文化基础1,中国近现代史纲要纲要,大学物理,通用学术英语,高等数学,高技术与现代局部战争,Java程序设计,思想道德修养与法律基础,线性代数2,工程职业伦理1,大学物理,数理统计及概率论,理工学术英语1,马克思主义基本原理,数据结构,数字集成电路分析与设计3,Web基础,大学计算机基础与应用,毛泽东思想和中国特色社会主义理论体系概论,软件工程,交互设计,数据库原理与应用,艺术与审美,创客培养：趣味力学实验与制作,大学生安全与保护,汉语文字词汇,决胜移动互联网：创业者的商业模式课,《红楼梦》的空间艺术,经济地理与企业兴衰,Python 交互式程序设计导论,操作系统,计算机网络,网络技术与应用,软件理论基础,数学建模,管理学,信息技术与教育应用,PLC应用技术,工程职业伦理,电子政务,人工智能,软件理论基础,项目管理,系统化产品设计与开发,创业导引——与创业名家面对面,C++语言程序设计基础",
33,Student32,"程序设计基础,创新创业基础,大学生心理健康教育,创业启程,通用学术英语,汉语文字词汇,高等数学,计算机文化基础1,中国近现代史纲要纲要,大学物理,通用学术英语,高等数学,高技术与现代局部战争,Java程序设计,思想道德修养与法律基础,线性代数2,工程职业伦理1,大学物理,数理统计及概率论,理工学术英语1,马克思主义基本原理,数据结构,数字集成电路分析与设计3,Web基础,大学计算机基础与应用,毛泽东思想和中国特色社会主义理论体系概论,软件工程,交互设计,数据库原理与应用,艺术与审美,创客培养：趣味力学实验与制作,工业生产管理概论,影视中的智能建筑赏析,Python 交互式程序设计导论,C++语言程序设计基础,操作系统,计算机网络,网络技术与应用,不朽的艺术：走进大师与经典,软件理论基础,设计的人因与文化,数学建模,信息技术与教育应用,PLC应用技术,工程职业伦理,人工智能,软件理论基础,项目管理,系统化产品设计与开发,知识产权法与创新保护",
34,Student33,"程序设计基础,创新创业基础,大学生心理健康教育,创业启程,通用学术英语,汉语文字词汇,高等数学,计算机文化基础1,中国近现代史纲要纲要,大学物理,通用学术英语,高等数学,高技术与现代局部战争,Java程序设计,思想道德修养与法律基础,线性代数2,工程职业伦理1,大学物理,数理统计及概率论,理工学术英语1,马克思主义基本原理,数据结构,数字集成电路分析与设计3,Web基础,大学计算机基础与应用,毛泽东思想和中国特色社会主义理论体系概论,软件工程,交互设计,数据库原理与应用,C语言程序设计,汇编语言程序设计,互联网金融,Web安全实践,影视鉴赏,操作系统,C++语言程序设计基础,高级语言程序设计,计算机网络,软件理论基础,高级大数据系统,数据挖掘：理论与算法,投资银行学,大数据系统基础,工程职业伦理,人工智能,软件理论基础,项目管理,测试系统集成技术,工程职业伦理,知识产权法与创新保护",
