,课程,知识点,相关课程
55,组合数学,"排列与组合,计数的基本法则,函数,递推关系,鸽巢原理,容斥原理,波利亚计数,计算机理论","线性代数,高等数学"
56,VC++面向对象与可视化程序设计（下）：MFC编程基础,"面向对象,可视化程序设计,Windows编程基础,MFC编程基础,数据库编程","C语言程序设计,VC++面向对象与可视化程序设计（上）：Windows编程基础,高级语言程序设计技术,Java程序设计"
57,计算机图形学导论,"基础数学,变换,光线追踪,OpenGL和照明","C语言程序设计,线性代数"
58,对外汉语,"汉语入门,汉语教学设计",
59,公共危机管理,"中国危机形态分析,中国危机管理演化,风险评估与危机治理,社会冲突与危机谈判",
60,VC++面向对象与可视化程序设计（上）：Windows编程基础,"面向对象,可视化程序设计,事件驱动消息响应","C语言程序设计,高级语言程序设计技术,Java程序设计"
61,生物医学成像学导论,"生物医学成像技术,疾病场景,神经系统疾病,癌症","组合数学,高级语言程序设计技术"
62,热带海岸线生态系统,"热带海岸线生态系统,海洋变暖和酸化,可持续管理",
63,工程制图,"投影理论,轴测图和计算机辅助绘图,复杂形体的构建,国家标准与表达方法,工程图纸的绘制",
64,汽车理论,"动力性,燃油经济性,动力装置参数的选定,制动性,操纵稳定性","微积分,多元微积分,大学物理1 (力学、热学),大学物理——振动、波动与光学,数字电路"
65,环境科学，第一部分：生物界,"生态系统,进化论与生物多样性,生物群落与气候,水生态系统",
66,软件工程,"软件工本概念,软件生命周期,根本性和永久性原则,迭代式开发,可测试性,软件体系结构,模块化,可复用性","高级语言程序设计技术,数据结构,数据结构与算法,Java程序设计"
67,免疫学基础——第Ⅰ部分,"人体免疫系统,先天免疫和适应性免疫,细胞和器官,信号传导,病原体识别,免疫细胞",
68,免疫学基础——第Ⅱ部分,"T细胞,免疫反应的协调机制,号传导,病原体识别,免疫细胞",免疫学基础——第Ⅰ部分
69,AP*备考——生物学，第一部分：细胞,"细胞的结构和功能,生化反应,细胞周期与分裂,细胞通信与信号转导",
70,AP*备考——生物学，第二部分：遗传学,"遗传信息的传递,DNA的结构与功能,基因表达与调控,遗传变异与进化",环境科学，第一部分：生物界
71,水力学,"水力学基本概念和理论,流体运动的规律,流体与边界的相互作用","微积分,高等数学,理论力学"
72,AP*备考——生物学，第三部分：演化和多样性,"基因变异,遗传漂变,进化理论,物种形成与分化,生物多样性","AP*备考——生物学,第二部分：遗传学"
73,混合式学习,"混合式学习概述,设计混合式课程,教学策略",
74,AP*备考——生物学，第四部分：生态学,"生态位与生态群落,种群动态,食物链与生态网络,生态系统功能","AP*备考——生物学,第三部分：演化和多样性"
75,AP*备考——环境科学，第二部分：种群,"人口动态,可持续性",
76,AP*备考——环境科学，第三部分：污染和资源,"环境污染的类型,管理策略,可持续性,资源管理","AP*备考——环境科学,第二部分：种群"
77,刑事审判心理学,"法律心理学,刑事司法系统,心理学",
78,宝玉石鉴赏,"宝玉石的基本概念,文化历史,自然特性",
79,宗教和嘻哈文化,"嘻哈文化,生命的意义和目的,宗教意义",
80,Java程序设计,"Java的基础语法,设计方法,类,对象,封装,继承和多态,I/O,文件的读写,Java的集合框架,集合,映射,Swing组件,AWT组件",
81,大数据系统基础,"Hadoop,Spark,NoSQL数据库,数据清洗,预处理,分析,可视化,设计方法","Java程序设计,数据库原理,计算机操作系统,C++语言程序设计基础"
82,人工智能,"树搜索算法,启发式搜索策略,约束,博弈算法,贝叶斯网络,隐马尔可夫模型,卡尔曼滤波器,设计方法","数理统计及概率论,算法分析与设计"
83,计算机操作系统,"软硬件协同设计,大型软件系统,工程师立场,进程管理,内存管理,文件系统,设备管理,安全与保护","Java程序设计,数据结构,计算机组成原理"
84,内部控制与风险管理,"内部控制概论,风险管理框架,全面风险管理,内部控制体系构建,风险分析与应对,内部控制缺陷与改进,信息技术与内控,行业案例分析,内部控制,公司治理,内部控制流程,制度,风险评估,审计与评估","经济学,管理学,管理学,数理统计及概率论"
85,Linux系统管理,"Linux系统,文件系统,内存管理,流,管道,重定向,脚本,进程管理,vi的应用","计算机操作系统,Linux导论"
86,大学历史与文化,"历史,文化,价值观,教育模式,多样性",
87,环境工程CAD,"环境工程学,AutoCAD软件操作,环境工程设计理论,环境工程CAD绘图","工程制图,大气污染控制工程,水污染控制工程"
88,公共管理学,"管理学,政府职能,政府治理,政策制定,战略管理,组织管理,公共责任与伦理",管理学
89,太阳能,"光伏设备,半导体原理,太阳能电池工作原理,光伏组件结构,光伏系统设计,太阳能电池技术,组件规格与系统应用",
90,互联网体系结构,"Linux系统,Socket,TCP/IP协议,IP协议,路由表,ARP协议,ARP缓存,二层交换网络,DNS命名系统,IP网络层,局域网数据交换传输,互联网架构的历史演化,互联网设计哲学","C语言程序设计,Linux系统管理,计算机网络"
91,Web安全实践,"网站搭建,HTML,CSS,JavaScript,CSS历史攻击,跨站请求伪造,跨站脚本攻击,点击劫持,SQL注入,基于算法复杂度的DoS攻击,基于机器学习的恶意URL识别",Web基础
92,数据结构,"数据结构,非线性数据结构,排序算法,查找算法,字符串处理,算法分析,递归算法,动态规划,算法设计策略,分治法,贪心算法,回溯法,图论算法,分治算法,动态规划,大数据",C++语言程序设计基础
93,电子政务,"电子政务基础概念,业务重组与流程再造,信息共享,组织虚拟化,电子政务应用系统关键技术,电子政务组织管理与外包,政府流程变革,电子政务的发展与前沿","公共管理学,信息系统原理"
94,微观化学世界,"电子总数与分布,电子的几何空间分布,量子力学,波粒二象性,电子云模型,电子的运动状态,电子运动模式,原子和分子的化学活性,光电磁现象的原理",大学物理
95,数据挖掘：理论与算法,"数据清洗,数据集成,数据变换,数据规约,决策树,朴素贝叶斯,支持向量机,逻辑回归等算法,K均值,聚类,回归,线性回归,岭回归,Lasso回归,规则挖掘,Apriori算法,FP-growth算法,推荐系统,协同过滤,集成学习,随机森林,进化计算,遗传算法,粒子群优化,数据预处理,逻辑回归,神经网络,深度学习,层次聚类,DBSCAN算法,K-means算法,多项式回归,时间序列分析,回归分析,关联规则","数理统计及概率论,算法分析与设计,数据结构,线性代数,Java程序设计,线性代数,C语言程序设计"
96,美国政治概论,"美国政治制度的起源与演变,分权与制衡机制,政治参与途径,美国政治文化,政策产出与评估",
97,运动与健康,"心血管系统,肌肉骨骼系统,科学健身,运动损伤预防,运动误区解析",
98,运动与解剖学,"运动系统的解剖学基础,神经系统与运动控制,心血管系统,内分泌系统,呼吸系统,运动损伤预防,能量代谢","生物学,生理卫生,人体学知识"
99,大学葡萄牙语,"葡萄牙语发音,文化知识",
100,英语语音,"元音音位,辅音音位,语流音变,重音,语调,英语学习,语言学",
101,大学生心理健康,"自我意识,认识自我,焦虑应对,防御机制,自我认知,调控情绪,时间管理,恋爱与成长,珍爱生命",
102,软件工程与软件自动化,"软件工程基本概念,需求分析,软件生命周期,软件开发模型,敏捷开发方法,面向对象设计原则,软件自动化,过程改进与质量保证,软件复用","Java程序设计,数据结构,算法设计基础"
103,电路与电工实验,"电路基本分析方法,LC动态元件的暂态分析,正弦稳态电路的相量分析,电工实验操作,电路仿真实验","大学物理,线性代数,大学物理——电磁学,大学物理1 (力学、热学),半导体物理,高等数学"
104,高山滑雪,"运动,高山滑雪的历史,高山滑雪的基本技术,滑雪技巧,自然环境",
105,冰壶,"运动,冰壶运动的起源,冰壶技术原理,冰壶教学方法,冰壶战术的运用与分析",
106,介质辐射传热,"辐射传递方程,气体辐射特性,颗粒物辐射特性,表面辐射特性,介质热辐射传递应用,科学思维方法",
107,IC设计与方法,"IC设计流程,VHDL和Verilog语言,仿真工具,后端设计",数字电路
108,智能车制作：嵌入式系统,"ARM Cortex M架构,微控制器,嵌入式系统开发,C语言编程","C语言程序设计,数字电路"
109,计算思维导论,"计算思维,教学理念,教学方法,跨领域应用,创新意识与能力",
110,思想道德修养与法律基础,"大学生活与价值观,社会主义核心价值观,理想信念,个人理想和社会理想,三条基本原则,马克思主义,中国特色社会主义,爱国主义,自觉维护国家利益,人生观,道德观,公共生活道德,职业生活道德,恋爱婚姻家庭道,德个人品德,法律",
111,中医与诊断-学做自己的医生,"中医理论知识,中医诊断方法,阴阳五行理论,五脏六腑理论,气血津液理论",
112,中国古代礼义文明（下）,"中国古代礼义文明的发展历程,儒家文化,《仪礼》,《周礼》,《礼记》,东亚儒家文化,中国古代礼制",中国古代礼义文明（上）
113,中国建筑史（下）,"建筑史,明代历史,元代历史,中国古典园林概述,中国民居建筑发展简史,中国传统民居建筑设计",中国建筑史（上）
114,生活、艺术与时尚：中国服饰七千年,"中国服饰历史演变,文化内涵与象征意义,艺术风格与服装样式,裁剪结构与工艺细节,传统服饰元素的时装转化",
115,食物与健康,"营养素的分子组成,食物争议,饮食与健康,食品安全,体重控制",
116,心理学概论,"心理学,识的性质和状态,感官系统,大脑如何组织和解释感觉信息,学习理论,记忆的编码、存储和提取,情绪的产生、表达和调节,进化心理学,个体差异和人格理论",
117,大学国文（下）,"阅读,写作,鉴赏文学,中华文化,历史与现实的联系,思辨与批判性思维,文学理论与批评",大学国文（上）
118,艺术的启示,"艺术理论,艺术实践,思辨能力,生活哲学",
119,携手向花间——昆曲经典剧目欣赏,"音乐,唱腔,舞蹈,服饰,化妆,昆曲的艺术特色",原来姹紫嫣红开遍——昆曲艺术欣赏
120,财务报表：为公司把把脉,"经营绩效,财务状况,理解报表,全球经济变化,会计准则,公司管理,奖励制度",高等数学
121,外国工艺美术史,"工艺美术的起源与发展,工艺美术特征,工艺美术作品的赏析,中华文化",
122,人类进化导论,"进化与生物变异,人类与类人猿的分化,南方古猿的兴衰,人属的起源和分布,农业实践与进化",
123,中国建筑史（上）,"建筑史,古代城市规划与建筑原则,早期文明与建筑形态,两宋辽金时期建筑,城市概述,三国两晋南北朝时期的城市",
124,教育社会学,"教育与社会流动,教育体系的社会学分析,全球化和教育变革,社会不平等与分层,教育与社会流动,性别与教育平等,社会学,全球化与中国教育变革,隋唐五代历史概况",
125,大唐兴衰,"隋唐五代历史概况,《资治通鉴》,修身,齐家,治国",
126,生活英语读写,"英语学习,阅读技巧讲解,重点词句讲解,文学赏析,语言学",
127,初级管理会计,"会计准则,成本和管理会计,数据转化为信息的流程,管理会计,会计信息化管理",
128,中国石油文化,"石油文化,古代石油发展,全球与中国的石油工业,中国石油文化的内涵,中国石油文化的发展,中国石油文化的基本特征,中国石油企业文化,中国石油高校文化,中国石油发展战略,石油工程伦理,石油工程师,文化,气举采油,石油精神,企业文化,创新与发展,伦理精神,可持续发展,技术创新",
129,毛泽东思想和中国特色社会主义理论体系概论,"马克思主义中国化,毛泽东思想,社会主义初级阶段理论,社会主义本质理论,社会主义改革开放理论,建设中国特色社会主义的总布局,中国特色社会主义,中国特色社会主义的道路自信、理论自信、制度自信和文化自信,中国特色社会主义的领导核心,中国特色社会主义的依靠力量,中国特色社会主义的根本目的",
130,大学国文（上）,"阅读,写作,鉴赏文学,中华文化,思辨与批判性思维,文学理论与批评,跨文化,人文素养与社会责任,审美教育与情感体验",
131,原来姹紫嫣红开遍——昆曲艺术欣赏,"中国戏曲,昆曲的艺术特色,昆曲的音乐与语言,昆曲的现状与展望",
132,医的奥秘,"医学科学及其发展,解剖学,组织学,胚胎学,医学微生物学,医学寄生虫学,生理学,病理生理学,病理学,免疫学,免疫系统,神经科学,肿瘤学,传染病,再生医学,结构生物学,临床医学,医学伦理",
133,西方思想经典与现代社会,"构建人类社会秩序的两大原则,古代社会与现代社会的构建原则,古代社会的原则与危机,柏拉图的哲学与责任危机,古代社会的五大原则,现代社会",
134,数字时代的医学,"数字医疗领域的增长与风险识别,区分泡沫与真实机会,数据转化为信息的流程,数字医疗与医生角色的重塑,风险与机遇的批判性分析",
135,营养与健康,"宏量营养素的化学原理,营养物质的吸收、储存与代谢,营养过剩与健康,能量平衡与体重调节,肥胖的机制与预防,营养学",
136,现代生活美学,"现代生活美学,审美原则,艺术修养,内在修养",
137,信息素养——学术研究的必修课,"信息素养,文献信息检索,检索策略,网络信息,学术规范,文献管理","计算机基础知识,计算机网络"
138,职业探索与选择,"文献信息检索,内在修养,求职技巧,决策制定",
139,项目采购与合同管理,"项目采购概述,合同管理,法规与法律,国际通行原则和操作方式,争议纠纷处理方法","经济学,管理学"
140,我国周边14个陆地邻国基本情况介绍,"地缘政治,经济合作,文化交流,邻国文化,国际视野,跨文化",
141,华文教学的理念与方法,"华文教学理论,海外华人社会与华文教育,华文教学方法与技巧,教学设计,课堂管理",
142,集成传感器,"传感器定义和分类,压阻效应,硅热敏电阻,PN结温度传感器,湿度定义,霍尔效应,各向异性磁电阻,光电导效应,图像传感器技术",数字电路
143,生产计划与控制,"生产运营管理概述,企业使命,运营战略,软件生命周期,制造流程,需求预测,追踪策略,线性规划,线性回归,库存控制,交换曲线,约束理论,应对变动,作业调度,成本核算","运筹学,统计学,人因学,工程经济学"
144,基本人体生物学：细胞和组织,"细胞结构和功能,分子生物学,细胞代谢,细胞信号传导,组织学,人体解剖学,生理学,健康与疾病,伦理,法律","生物学,人体学知识"
145,暖通空调,"热力学,空气处理,热湿负荷计算,通风系统,制冷与空调系统,采暖系统,水处理与水质管理,自动控制系统,能源效率,可持续性,空气质量,设计原则,材料选择","大学物理1 (力学、热学),流体力学,工程流体力学"
146,地下水文学（水文学原理及应用（2））,"水处理与水质管理,土壤水与地下水,土壤水与地下水转化的理论与计算,水运动基本方程,参数获取方法,HYDRUS,FEFLOW,生态环境与管理","土力学,水力学,水文学原理"
147,基于R语言的社会统计分析,"数据探索,可视化,描述统计,抽样与概率论,参数估计,假设检验,回归,逻辑斯蒂回归,多水平模型,社会学,心理学,教育学","高等数学,多元微积分,线性代数,数理统计及概率论,统计学"
148,模拟电子技术基础(应用部分),"信号的运算和处理,波形的产生,信号转换,功率放大电路,直流稳压电源,电子电路的读图","数字电路,电工技术,模拟电子技术基础"
149,金融工程,"金融工具,衍生工具定价理论,风险管理,对冲策略,金融工程方法论,数学建模,数值计算,网络图解,金融创新,风险管理,量化交易","经济学,工程经济学"
150,唐宋词鉴赏,"词的定义与起源,唐代词坛概览,宋代词坛的繁荣,宋代社会风貌",
151,艺术心理学,"视觉心理与艺术,艺术的社会心理,视觉元素,社会文化,批判性思维",心理学
152,园林植物景观学原理与方法,"种质资源概述,园林生态与生物多样性,多样性,近自然园林理论,园林植物美学,植物景观规划设计,植物景观工程技术,气候变化","植物学,生态学,风景园林规划设计"
153,经济地理与企业兴衰,"经济地理学基础,经济学,区位理论,区域发展,中国区域经济分析,全球视角下的经济地理,产业集群与地方经济,美国经济地理,企业管理,国家经济",
154,中级财务会计,"会计准则,复式记账法,财务报表,现金管理",初级财务会计
155,初级财务会计,"商业交易,银行系统,复式记账法,工资与分类账目,平衡表",
156,模拟电子技术基础,"半导体器件,二极管,双极型三极管,场效应管,集成电路,放大电路,信号处理与电源,集成运算放大器,直流电源,数字化资源","微积分,数字电路"
157,西班牙语很容易,"语言学,西班牙语入门,文化习俗",
158,住宅精细化设计,"住宅设计,室内装修,住宅舒适度与实用性,户型优化设计,住区规划,人性化设计,国外住宅设计",
159,环境生态学,"生态学,环境因子与生物适应,人类活动对环境的影响,环境污染,生态系统恢复与重建,可持续发展,生态管理,环境政策与法规,环境监测与评估",
160,商务礼仪,"个人形象礼仪,商务沟通,会议礼仪,餐饮礼仪,名片交换,跨文化沟通,商务旅行,谈判与销售技巧,礼品赠送",
161,微机原理与接口技术,"微型计算机系统,微处理器与总线,指令集,程序设计,半导体,I/O,可编程并行数字接口,模拟量的输入输出","数字电路,计算机基础知识,计算机操作系统"
162,网络、群体与市场,"网络理论,群体行为,市场机制,博弈论,选举理论,政治经济学,经济学,计算思维,算法设计,复杂性分析,数据分析,机器学习,预测模型,网络经济学",数理统计及概率论
163,环境地学原理,"地球环境系统概论,地球物质组成与循环,能量流,生态系统,地质过程,环境演化,气候变化,水资源,水循环,土地利用,环境调查,观测技术,环境灾害,风险管理,环境健康,可持续发展",
164,嵌入式系统设计,"嵌入式系统基础,嵌入式处理器,嵌入式操作系统,Linux在嵌入式系统中的应用,Bootloader与启动过程,实时操作系统,嵌入式软件开发平台,交叉编译与开发环境,设备驱动模型,中断与DMA处理,Linux内核裁剪,驱动程序编写与测试","数字逻辑,微机原理与接口技术,Linux操作系统,C语言程序设计"
165,医学伦理学,"医学伦理学基础,患者权利,医生责任,临床决策中的伦理问题,公共卫生伦理,资源分配,公平正义,医学研究,伦理审查,生物技术伦理",
166,中国哲学经典著作导读,"《周易》,《论语》,《道德经》,《大学》《中庸》,《庄子》,《孙子兵法》,《墨经》,《心经》,朱熹理学,《传习录》",
167,生死学,"生死本质,死亡意识,个体死亡,社会死亡,战争与和平,生死两安,死亡优化,伦理与法律,自杀问题,疾病与衰老,道德与法律",
168,技术创新简史,"工业革命的历史,技术创新人物,技术对社会的影响,城市化进程,全球化,社会结构变化,文化和生活方式的改变,技术创新思想史,科学方法,工业革命,人工智能,机器学习,物联网,3D打印,增材制造,区块链技术,量子计算",
169,物理与人类未来,"力学基础,热学,统计物理,牛顿运动定律,能量守恒与动量守恒,流体力学,波动理论,电磁学,法拉第电磁感应定律,麦克斯韦方程组与电磁波,静电学与磁学基础,光学,光谱学与量子光学,光的干涉与衍射现象,量子物理,量子力学,大数据,人工智能",
170,卡通说解数字电子技术,"逻辑代数,门电路,TTL和CMOS技术,编码器与译码器,多路复用器与选择器,比较器,时序逻辑电路,触发器,数字芯片与大规模集成电路,数字芯片,存储器,转换器,脉冲电路,单稳态触发器,多谐振荡器,电路设计与仿真","高等数学,数字电路"
171,PLC应用技术,"PLC基础,基本指令与程序设计,定时器,计数器,数据处理,通信与网络,综合应用,系统集成","数字电子技术,电气控制技术,电机"
172,测试系统集成技术,"测试系统集成基础,数字接口技术,系统集成,仪器语言,测量控制机设计,自动测试系统构建,软件架构设计,编程语言,软件测试与调试,故障诊断,系统优化",C语言程序设计
173,创新土地再开发：土地整备,"土地整备的定义与背景,土地整备与传统土地征集方法,土地整备的实施过程,土地整备的法律与政策",
174,工程图学,"投影方法,空间形体表达,工程制图规范,绘图技巧,工程意识,工作态度,创造性构形设计,材料与工艺",
175,华文趣味教学法,"华文趣味教学法的理论基础,教学活动的设计,趣味教学,教学设计",华文教育
176,文物精品与文化中国,"中国考古学,文物精品,历史,古代中国造船技术,玉器文化与工艺,古代科技与文明成就,文化遗产保护与研究,文化,中华文化",
177,自然保护与生态安全：拯救地球家园,"自然保护的基本概念和理论,自然保护的现状,全球自然生态保护热点,多样性,生态平衡,气候变化,可持续发展,绿色经济,生态伦理",
178,高等数学,"极限与连续性,一元函数微积分,多元函数微积分,无穷级数,空间解析几何,微分方程,连续性,导数,积分,级数,空间解析几何",
179,关爱健康·从齿开启,"口腔健康,口腔疾病,清洁牙齿的技巧,牙龈疾病的预防与治疗,牙齿敏感与脱敏护理,饮食习惯,口腔健康",
180,模拟电子技术基础(基础部分),"半导体,放大电路,多级放大电路,集成运算放大电路,放大电路的频率响应,放大电路的反馈,信号的运算和处理,形的产生,信号的转换,功率放大电路,直流稳压电源,模拟电子电路的读图","数字电子技术,数字电路"
181,室内花草栽培技术与装饰布景,"中国花文化,室内花草概论,花草栽培基础,花草养护技术,室内空间绿化装饰,环境尺度,装饰艺术,瓶景设计,立体栽培,风水学",
182,寄生虫与公共卫生,"公共卫生,寄生虫定义,食源性寄生虫病,预防措施,土源性寄生虫病,宠物源性寄生虫病,寄生虫病的诊断与治疗,防控策略",
183,产品开发设计,"现代产品设计,产品开发设计的基本原则,系统思考与产品,产品创新,设计策略,产品价值","设计方法论,设计材料工艺学"
184,网络安全概述,"计算机网络基础,网络架构,网络层次,IP地址,网络安全问题,风险评估,编码解码学,网络安全协议,函数,无线网络安全,防火墙及攻防系统",
