,学生id,大一至大二课程
21,Student20,"程序设计基础,创新创新创业基础,大学生心理健康教育,创业启程,通用学术英语,汉语文字词汇,高等数学,习近平新时代中国特色社会主义思想：新发展理念,计算机文化基础,中国近现代史纲要纲要,大学物理,高技术与现代局部战争,Java程序设计,思想道德修养与法律基础,线性代数,中国电影经典影片鉴赏,工程职业伦理,大学物理,数理统计及概率论,理工学术英语,《红楼梦》的空间艺术,马克思主义基本原理,数据结构,数字集成电路分析与设计,Web基础,大数据与城市规划,理工学术英语,大学计算机基础与应用,毛泽东思想和中国特色社会主义理论体系概论,软件工程,交互设计,数据库系统原理与开发,营养与健康"
22,Student21,"程序设计基础,创新创新创业基础,大学生心理健康教育,创业启程,通用学术英语,汉语文字词汇,高等数学,网络安全概述,计算机文化基础,中国近现代史纲要纲要,大学物理,高技术与现代局部战争,Java程序设计,思想道德修养与法律基础,线性代数,中国电影经典影片鉴赏,工程职业伦理,大学物理,数理统计及概率论,理工学术英语,马克思主义基本原理,小白学人工智能,数据结构,数字集成电路分析与设计,Web基础,理工学术英语,大学计算机基础与应用,毛泽东思想和中国特色社会主义理论体系概论,软件工程,交互设计,数据库系统原理与开发,经济学,对外汉语"
23,Student22,"程序设计基础,创新创新创业基础,大学生心理健康教育,创业启程,通用学术英语,汉语文字词汇,高等数学,网络安全概述,计算机文化基础,中国近现代史纲要纲要,办公软件Office实践应用,大学物理,高技术与现代局部战争,Java程序设计,思想道德修养与法律基础,线性代数,工程职业伦理,大学物理,数理统计及概率论,理工学术英语,马克思主义基本原理,数据结构,数字集成电路分析与设计,英汉语言对比,Python 交互式程序设计导论,Web基础,理工学术英语,大学计算机基础与应用,毛泽东思想和中国特色社会主义理论体系概论,软件工程,交互设计,数据库系统原理与开发,影视鉴赏"
24,Student23,"程序设计基础,创新创新创业基础,大学生心理健康教育,创业启程,通用学术英语,汉语文字词汇,高等数学,计算机文化基础,中国古代礼义文明（上）,中国古代礼义文明（下）,中国近现代史纲要纲要,大学物理,高技术与现代局部战争,Java程序设计,思想道德修养与法律基础,线性代数,中国电影经典影片鉴赏,工程职业伦理,大学物理,数理统计及概率论,理工学术英语,马克思主义基本原理,数据结构,数字集成电路分析与设计,营养与健康,Web基础,理工学术英语,大学计算机基础与应用,毛泽东思想和中国特色社会主义理论体系概论,汽车文化与鉴赏,软件工程,交互设计,数据库系统原理与开发"
25,Student24,"程序设计基础,创新创业基础,大学生心理健康教育,创业启程,通用学术英语,汉语文字词汇,高等数学,计算机文化基础1,中国近现代史纲要纲要,大学物理,通用学术英语,高等数学,高技术与现代局部战争,Java程序设计,思想道德修养与法律基础,线性代数2,工程职业伦理1,大学物理,数理统计及概率论,理工学术英语1,马克思主义基本原理,数据结构,数字集成电路分析与设计3,Web基础,大学计算机基础与应用,毛泽东思想和中国特色社会主义理论体系概论,软件工程,交互设计,数据库原理与应用,网络安全概述,电工技术,工业生产管理概论,山水画技法,Python 交互式程序设计导论"
26,Student25,"程序设计基础,创新创业基础,大学生心理健康教育,创业启程,通用学术英语,汉语文字词汇,高等数学,计算机文化基础1,中国近现代史纲要纲要,大学物理,通用学术英语,高等数学,高技术与现代局部战争,Java程序设计,思想道德修养与法律基础,线性代数2,工程职业伦理1,大学物理,数理统计及概率论,理工学术英语1,马克思主义基本原理,数据结构,数字集成电路分析与设计3,Web基础,大学计算机基础与应用,毛泽东思想和中国特色社会主义理论体系概论,软件工程,交互设计,数据库原理与应用,网络安全概述,电工技术,工业生产管理概论,山水画技法,Python 交互式程序设计导论"
27,Student26,"程序设计基础,创新创业基础,大学生心理健康教育,创业启程,通用学术英语,汉语文字词汇,高等数学,计算机文化基础1,中国近现代史纲要纲要,大学物理,通用学术英语,高等数学,高技术与现代局部战争,Java程序设计,思想道德修养与法律基础,线性代数2,工程职业伦理1,大学物理,数理统计及概率论,理工学术英语1,马克思主义基本原理,数据结构,数字集成电路分析与设计3,Web基础,大学计算机基础与应用,毛泽东思想和中国特色社会主义理论体系概论,软件工程,交互设计,数据库原理与应用,C语言程序设计,网络安全概述,汇编语言程序设计,C++语言程序设计基础,运动与减脂塑形,社会研究方法,经济学"
28,Student27,"程序设计基础,创新创业基础,大学生心理健康教育,创业启程,通用学术英语,汉语文字词汇,高等数学,计算机文化基础1,中国近现代史纲要纲要,大学物理,通用学术英语,高等数学,高技术与现代局部战争,Java程序设计,思想道德修养与法律基础,线性代数2,工程职业伦理1,大学物理,数理统计及概率论,理工学术英语1,马克思主义基本原理,数据结构,数字集成电路分析与设计3,Web基础,大学计算机基础与应用,毛泽东思想和中国特色社会主义理论体系概论,软件工程,交互设计,数据库原理与应用,女性修与养：女性运动、营养与健康,文物精品与文化中国,光电仪器设计,卡通说解数字电子技术,乐商对话,普通化学,庄子哲学导读"
29,Student28,"程序设计基础,创新创业基础,大学生心理健康教育,创业启程,通用学术英语,汉语文字词汇,高等数学,计算机文化基础1,中国近现代史纲要纲要,大学物理,通用学术英语,高等数学,高技术与现代局部战争,Java程序设计,思想道德修养与法律基础,线性代数2,工程职业伦理1,大学物理,数理统计及概率论,理工学术英语1,马克思主义基本原理,数据结构,数字集成电路分析与设计3,Web基础,大学计算机基础与应用,毛泽东思想和中国特色社会主义理论体系概论,软件工程,交互设计,数据库原理与应用,女性修与养：女性运动、营养与健康,计算机辅助设计,印意雕刻工艺品制作,卡通说解数字电子技术,乐商对话,如柯成为一名终生学习者并从中收益,设计的人因与文化"
30,Student29,"程序设计基础,创新创业基础,大学生心理健康教育,创业启程,通用学术英语,汉语文字词汇,高等数学,计算机文化基础1,中国近现代史纲要纲要,大学物理,通用学术英语,高等数学,高技术与现代局部战争,Java程序设计,思想道德修养与法律基础,线性代数2,工程职业伦理1,大学物理,数理统计及概率论,理工学术英语1,马克思主义基本原理,数据结构,数字集成电路分析与设计3,Web基础,大学计算机基础与应用,毛泽东思想和中国特色社会主义理论体系概论,软件工程,交互设计,数据库原理与应用,汇编语言程序设计,《红楼梦》的空间艺术,英汉语言对比,Python 交互式程序设计导论"
31,Student30,"程序设计基础,创新创业基础,大学生心理健康教育,创业启程,通用学术英语,汉语文字词汇,高等数学,计算机文化基础1,中国近现代史纲要纲要,大学物理,通用学术英语,高等数学,高技术与现代局部战争,Java程序设计,思想道德修养与法律基础,线性代数2,工程职业伦理1,大学物理,数理统计及概率论,理工学术英语1,马克思主义基本原理,数据结构,数字集成电路分析与设计3,Web基础,大学计算机基础与应用,毛泽东思想和中国特色社会主义理论体系概论,软件工程,交互设计,数据库原理与应用,艺术与审美,工业生产管理概论,微观经济学原理,艺术的启示,建筑环境学"
32,Student31,"程序设计基础,创新创业基础,大学生心理健康教育,创业启程,通用学术英语,汉语文字词汇,高等数学,计算机文化基础1,中国近现代史纲要纲要,大学物理,通用学术英语,高等数学,高技术与现代局部战争,Java程序设计,思想道德修养与法律基础,线性代数2,工程职业伦理1,大学物理,数理统计及概率论,理工学术英语1,马克思主义基本原理,数据结构,数字集成电路分析与设计3,Web基础,大学计算机基础与应用,毛泽东思想和中国特色社会主义理论体系概论,软件工程,交互设计,数据库原理与应用,艺术与审美,创客培养：趣味力学实验与制作,大学生安全与保护,汉语文字词汇,决胜移动互联网：创业者的商业模式课,《红楼梦》的空间艺术,经济地理与企业兴衰,Python 交互式程序设计导论"
33,Student32,"程序设计基础,创新创业基础,大学生心理健康教育,创业启程,通用学术英语,汉语文字词汇,高等数学,计算机文化基础1,中国近现代史纲要纲要,大学物理,通用学术英语,高等数学,高技术与现代局部战争,Java程序设计,思想道德修养与法律基础,线性代数2,工程职业伦理1,大学物理,数理统计及概率论,理工学术英语1,马克思主义基本原理,数据结构,数字集成电路分析与设计3,Web基础,大学计算机基础与应用,毛泽东思想和中国特色社会主义理论体系概论,软件工程,交互设计,数据库原理与应用,艺术与审美,创客培养：趣味力学实验与制作,工业生产管理概论,影视中的智能建筑赏析,Python 交互式程序设计导论"
34,Student33,"程序设计基础,创新创业基础,大学生心理健康教育,创业启程,通用学术英语,汉语文字词汇,高等数学,计算机文化基础1,中国近现代史纲要纲要,大学物理,通用学术英语,高等数学,高技术与现代局部战争,Java程序设计,思想道德修养与法律基础,线性代数2,工程职业伦理1,大学物理,数理统计及概率论,理工学术英语1,马克思主义基本原理,数据结构,数字集成电路分析与设计3,Web基础,大学计算机基础与应用,毛泽东思想和中国特色社会主义理论体系概论,软件工程,交互设计,数据库原理与应用,C语言程序设计,汇编语言程序设计,互联网金融,Web安全实践,影视鉴赏"
35,Student34,"程序设计基础,创新创业基础,大学生心理健康教育,创业启程,通用学术英语,汉语文字词汇,高等数学,计算机文化基础1,中国近现代史纲要纲要,大学物理,通用学术英语,高等数学,高技术与现代局部战争,Java程序设计,思想道德修养与法律基础,线性代数2,工程职业伦理1,大学物理,数理统计及概率论,理工学术英语1,马克思主义基本原理,数据结构,数字集成电路分析与设计3,Web基础,大学计算机基础与应用,毛泽东思想和中国特色社会主义理论体系概论,软件工程,交互设计,数据库原理与应用,计算机辅助设计,影视鉴赏,金融工程,营养与健康"
36,Student35,"程序设计基础,创新创业基础,大学生心理健康教育,创业启程,通用学术英语,汉语文字词汇,高等数学,计算机文化基础1,中国近现代史纲要纲要,大学物理,通用学术英语,高等数学,高技术与现代局部战争,Java程序设计,思想道德修养与法律基础,线性代数2,工程职业伦理1,大学物理,数理统计及概率论,理工学术英语1,马克思主义基本原理,数据结构,数字集成电路分析与设计3,Web基础,大学计算机基础与应用,毛泽东思想和中国特色社会主义理论体系概论,软件工程,交互设计,数据库原理与应用,C语言程序设计,创客培养：趣味力学实验与制作,汇编语言程序设计,如何写好科研论文,足球运动与科学,社会研究方法"
37,Student36,"程序设计基础,创新创业基础,大学生心理健康教育,创业启程,通用学术英语,汉语文字词汇,高等数学,计算机文化基础1,中国近现代史纲要纲要,大学物理,通用学术英语,高等数学,高技术与现代局部战争,Java程序设计,思想道德修养与法律基础,线性代数2,工程职业伦理1,大学物理,数理统计及概率论,理工学术英语1,马克思主义基本原理,数据结构,数字集成电路分析与设计3,Web基础,大学计算机基础与应用,毛泽东思想和中国特色社会主义理论体系概论,软件工程,交互设计,数据库原理与应用,C++语言程序设计进阶,汇编语言程序设计,C++语言程序设计基础,邮票上的昆虫世界,影视鉴赏"
39,Student37,"创新创新创业基础,大学生心理健康教育,创业启程,通用学术英语,电工电子技术,高等数学,工程制图,高技术与现代局部战争,计算思维导论,程序设计基础,大学物理,通用学术英语,汉语文字词汇,高等数学,Java程序设计,线性代数,中国近现代史纲要纲要,工程职业伦理,数理统计及概率论,理工学术英语,计算机文化基础,运动与关节健康,互联网金融,马克思主义基本原理,数据结构,数字集成电路分析与设计,Web基础,大学计算机基础与应用,足球运动与科学,毛泽东思想和中国特色社会主义理论体系概论,软件工程,交互设计,数据库系统原理与开发,思想道德修养与法律基础"
40,Student38,"创业启程,工程伦理,工程制图,高技术与现代局部战争,电工电子技术,工程制图实践,理论力学,材料学概论,程序设计基础,通用学术英语,高等数学,材料现代研究方法,机械原理,中国近现代史纲要纲要,大学物理,通用学术英语,电工电子技术,高等数学,动态测试与分析（上）,动态测试与分析（下）,Java程序设计,思想道德修养与法律基础,线性代数"
41,Student39,"创业启程,工程制图,高技术与现代局部战争,电工电子技术,工程伦理,工程制图实践,理论力学,材料学概论,程序设计基础,高等数学,材料现代研究方法,工程伦理,机械原理,中国近现代史纲要纲要,大学物理,通用学术英语,电工电子技术,高等数学,动态测试与分析（上）,动态测试与分析（下）,Java程序设计,思想道德修养与法律基础,线性代数"
42,Student40,"程序设计基础,创新创业基础,大学生心理健康教育,创业启程,通用学术英语,汉语文字词汇,高等数学,计算机文化基础1,中国近现代史纲要纲要,大学物理,通用学术英语,高等数学,高技术与现代局部战争,Java程序设计,思想道德修养与法律基础,线性代数2,工程职业伦理1,大学物理,数理统计及概率论,理工学术英语1,马克思主义基本原理,数据结构,数字集成电路分析与设计3,Web基础,大学计算机基础与应用,毛泽东思想和中国特色社会主义理论体系概论,软件工程,交互设计,数据库原理与应用,C语言程序设计,习近平新时代中国特色社会主义思想：新发展理念,C++语言程序设计进阶,汇编语言程序设计,信息素养-互联网+时代的学习与生活,电子政务,社会研究方法,营养与健康,经济学"
43,Student41,"程序设计基础,创新创业基础,大学生心理健康教育,创业启程,通用学术英语,汉语文字词汇,高等数学,计算机文化基础1,中国近现代史纲要纲要,大学物理,通用学术英语,高等数学,高技术与现代局部战争,Java程序设计,思想道德修养与法律基础,线性代数2,工程职业伦理1,大学物理,数理统计及概率论,理工学术英语1,马克思主义基本原理,数据结构,数字集成电路分析与设计3,Web基础,大学计算机基础与应用,毛泽东思想和中国特色社会主义理论体系概论,软件工程,交互设计,数据库原理与应用,Python 交互式程序设计导论,C++语言程序设计基础,商务礼仪,经济学"
44,Student42,"程序设计基础,创新创业基础,大学生心理健康教育,创业启程,通用学术英语,汉语文字词汇,高等数学,计算机文化基础1,中国近现代史纲要纲要,大学物理,通用学术英语,高等数学,高技术与现代局部战争,Java程序设计,思想道德修养与法律基础,线性代数2,工程职业伦理1,大学物理,数理统计及概率论,理工学术英语1,马克思主义基本原理,数据结构,数字集成电路分析与设计3,Web基础,大学计算机基础与应用,毛泽东思想和中国特色社会主义理论体系概论,软件工程,交互设计,数据库原理与应用,C语言程序设计,Python 交互式程序设计导论,中国民俗文化赏析,大学历史与文化,影视鉴赏"
45,Student43,"程序设计基础,创新创业基础,大学生心理健康教育,创业启程,通用学术英语,汉语文字词汇,高等数学,计算机文化基础1,中国近现代史纲要纲要,大学物理,通用学术英语,高等数学,高技术与现代局部战争,Java程序设计,思想道德修养与法律基础,线性代数2,工程职业伦理1,大学物理,数理统计及概率论,理工学术英语1,马克思主义基本原理,数据结构,数字集成电路分析与设计3,Web基础,大学计算机基础与应用,毛泽东思想和中国特色社会主义理论体系概论,软件工程,交互设计,数据库原理与应用,C语言程序设计,艺术与审美,Python 交互式程序设计导论,学在南哲：哲学与哲人,不朽的艺术：走进大师与经典,从音乐到影像,食物与健康"
46,Student44,"程序设计基础,创新创业基础,大学生心理健康教育,创业启程,通用学术英语,汉语文字词汇,高等数学,计算机文化基础1,中国近现代史纲要纲要,大学物理,通用学术英语,高等数学,高技术与现代局部战争,Java程序设计,思想道德修养与法律基础,线性代数2,工程职业伦理1,大学物理,数理统计及概率论,理工学术英语1,马克思主义基本原理,数据结构,数字集成电路分析与设计3,Web基础,大学计算机基础与应用,毛泽东思想和中国特色社会主义理论体系概论,软件工程,交互设计,数据库原理与应用,网络安全概述,工业生产管理概论,民族科学运动与健康运动与健康管理,设计的人因与文化"
47,Student45,"程序设计基础,创新创业基础,大学生心理健康教育,创业启程,通用学术英语,汉语文字词汇,高等数学,计算机文化基础1,中国近现代史纲要纲要,大学物理,通用学术英语,高等数学,高技术与现代局部战争,Java程序设计,思想道德修养与法律基础,线性代数2,工程职业伦理1,大学物理,数理统计及概率论,理工学术英语1,马克思主义基本原理,数据结构,数字集成电路分析与设计3,Web基础,大学计算机基础与应用,毛泽东思想和中国特色社会主义理论体系概论,软件工程,交互设计,数据库原理与应用,内部控制与风险管理,工业生产管理概论,Python 交互式程序设计导论,设计的人因与文化"
48,Student46,"程序设计基础,创新创业基础,大学生心理健康教育,创业启程,通用学术英语,汉语文字词汇,高等数学,计算机文化基础1,中国近现代史纲要纲要,大学物理,通用学术英语,高等数学,高技术与现代局部战争,Java程序设计,思想道德修养与法律基础,线性代数2,工程职业伦理1,大学物理,数理统计及概率论,理工学术英语1,马克思主义基本原理,数据结构,数字集成电路分析与设计3,Web基础,大学计算机基础与应用,毛泽东思想和中国特色社会主义理论体系概论,软件工程,交互设计,数据库原理与应用,生活英语读写,Python 交互式程序设计导论,《红楼梦》的空间艺术,设计的人因与文化,数学模型(特色)"
49,Student47,"程序设计基础,创新创业基础,大学生心理健康教育,创业启程,通用学术英语,汉语文字词汇,高等数学,计算机文化基础1,中国近现代史纲要纲要,网络安全概述,大学物理,通用学术英语,高等数学,高技术与现代局部战争,Java程序设计,思想道德修养与法律基础,线性代数2,工程职业伦理1,大学物理,数理统计及概率论,理工学术英语1,马克思主义基本原理,数据结构,数字集成电路分析与设计3,生活英语读写,Python 交互式程序设计导论,设计的人因与文化,数学模型(特色),Web基础,大学计算机基础与应用,毛泽东思想和中国特色社会主义理论体系概论,软件工程,交互设计,数据库原理与应用"
50,Student48,"工程职业伦理1,操作系统,程序设计基础,大学物理,产品开发设计,数理统计及概率论A,计算机网络,创新创业基础,理工学术英语1,软件理论基础,大学生心理健康教育,高级大数据系统,创业启程,马克思主义基本原理,数据挖掘：理论与算法,通用学术英语2,汽车理论,托福特色课程（特色）,汉语文字词汇,数据结构,大学物理B1,高等数学A2,高技术与现代局部战争,Java程序设计,思想道德修养与法律基础,汇编语言程序设计,线性代数2,工程职业伦理1,大学物理,数理统计及概率论A,理工学术英语1,马克思主义基本原理,汽车理论,数据结构,数字集成电路分析与设计,Web基础,大学计算机基础与应用,毛泽东思想和中国特色社会主义理论体系概论,软件工程,交互设计,数据库原理与应用,影视鉴赏,对外汉语"
